wavenumber_cm_inv,reflectance_percent
399.6747,0
400.1569,91.48944351
400.639,91.23369158
401.1211,91.0084648
401.6032,90.84438559
402.0853,90.65157727
402.5674,90.45239513
403.0496,90.2320212
403.5317,89.97048972
404.0138,89.65167002
404.4959,89.32589322
404.978,88.98732528
405.4601,88.626402
405.9423,88.28210197
406.4244,87.98342003
406.9065,87.76033354
407.3886,87.63351933
407.8707,87.58963063
408.3528,87.66916091
408.835,87.67088502
409.3171,87.74704646
409.7992,87.89649068
410.2813,87.99287745
410.7634,88.05237254
411.2455,88.07654049
411.7277,87.96853464
412.2098,87.82446216
412.6919,87.61577465
413.174,87.39512686
413.6561,87.18190872
414.1382,86.94144651
414.6204,86.76097414
415.1025,86.52761181
415.5846,86.34454595
416.0667,86.15841654
416.5488,85.97936033
417.0309,85.76688539
417.5131,85.59217925
417.9952,85.38879818
418.4773,85.17922026
418.9594,85.02135181
419.4415,84.92244488
419.9236,84.87223699
420.4058,84.82688022
420.8879,84.81161416
421.37,84.85559937
421.8521,84.8502908
422.3342,84.86562339
422.8163,84.82855299
423.2985,84.75887479
423.7806,84.66548443
424.2627,84.55154529
424.7448,84.41216105
425.2269,84.28354979
425.709,84.1597351
426.1912,84.02114547
426.6733,83.92356026
427.1554,83.83945689
427.6375,83.79363186
428.1196,83.77415499
428.6017,83.71858094
429.0839,83.74131425
429.566,83.7465439
430.0481,83.77156945
430.5302,83.77518362
431.0123,83.75327501
431.4944,83.75195203
431.9766,83.72075083
432.4587,83.67759132
432.9408,83.57525081
433.4229,83.50025253
433.905,83.41498591
434.3871,83.28470752
434.8693,83.17452487
435.3514,83.08735166
435.8335,82.94983835
436.3156,82.81157095
436.7977,82.73855522
437.2798,82.66642263
437.762,82.6143942
438.2441,82.56227205
438.7262,82.53007751
439.2083,82.48319508
439.6904,82.4311712
440.1725,82.42817508
440.6547,82.3690065
441.1368,82.30340136
441.6189,82.20807819
442.101,82.10485775
442.5831,81.95686666
443.0652,81.80062871
443.5474,81.6452176
444.0295,81.49634823
444.5116,81.3406425
444.9937,81.15976281
445.4758,81.02490754
445.9579,80.84486801
446.4401,80.72290356
446.9222,80.59033398
447.4043,80.43278519
447.8864,80.31976454
448.3685,80.19645356
448.8506,80.09839612
449.3328,80.0268264
449.8149,79.87957091
450.297,79.79542451
450.7791,79.79072746
451.2612,79.75169315
451.7433,79.68486497
452.2255,79.63997994
452.7076,79.52349161
453.1897,79.38855732
453.6718,79.30409168
454.1539,79.21809284
454.636,79.1124257
455.1182,78.99906142
455.6003,78.89724246
456.0824,78.76630692
456.5645,78.65365063
457.0466,78.52932611
457.5287,78.45657937
458.0109,78.37127998
458.493,78.24366453
458.9751,78.11175114
459.4572,78.03755382
459.9393,77.88569885
460.4214,77.71367948
460.9036,77.50921346
461.3857,77.32188757
461.8678,77.10820463
462.3499,76.89665202
462.832,76.66048133
463.3141,76.39845055
463.7963,76.18029561
464.2784,75.96096808
464.7605,75.80016748
465.2426,75.61935246
465.7247,75.50416346
466.2068,75.36349448
466.689,75.32478558
467.1711,75.2136637
467.6532,75.07821266
468.1353,74.94739621
468.6174,74.81333161
469.0995,74.63057926
469.5817,74.42861569
470.0638,74.18530185
470.5459,73.95327146
471.028,73.69849433
471.5101,73.43505507
471.9922,73.18462411
472.4744,72.98655539
472.9565,72.77724849
473.4386,72.61495989
473.9207,72.46968895
474.4028,72.34669591
474.8849,72.2218455
475.3671,72.0989888
475.8492,71.97603725
476.3313,71.82000998
476.8134,71.69391277
477.2955,71.61491102
477.7776,71.39366598
478.2598,71.22614734
478.7419,71.09339894
479.224,70.89559278
479.7061,70.75051547
480.1882,70.58334782
480.6703,70.41248834
481.1525,70.25774887
481.6346,70.09385941
482.1167,69.89694595
482.5988,69.65848939
483.0809,69.43942222
483.563,69.2188229
484.0452,68.99039668
484.5273,68.72813632
485.0094,68.52908525
485.4915,68.26986666
485.9736,68.01772383
486.4557,67.71475957
486.9379,67.46469391
487.42,67.23783324
487.9021,66.99328811
488.3842,66.77111206
488.8663,66.53841336
489.3484,66.3157864
489.8306,66.05390908
490.3127,65.8242187
490.7948,65.55502667
491.2769,65.31258414
491.759,65.06577553
492.2411,64.83063233
492.7233,64.548519
493.2054,64.2870734
493.6875,64.04400764
494.1696,63.75559104
494.6517,63.49424356
495.1339,63.2216935
495.616,62.97395845
496.0981,62.70070313
496.5802,62.38862812
497.0623,62.10829226
497.5444,61.81704339
498.0266,61.5351784
498.5087,61.26749352
498.9908,61.02633566
499.4729,60.73633136
499.955,60.45157112
500.4371,60.16460222
500.9193,59.85196614
501.4014,59.60881487
501.8835,59.2264463
502.3656,58.9005237
502.8477,58.54722787
503.3298,58.2254656
503.812,57.88644772
504.2941,57.57060986
504.7762,57.26386746
505.2583,56.92516529
505.7404,56.56681214
506.2225,56.2320566
506.7047,55.90449161
507.1868,55.5864749
507.6689,55.27402068
508.151,54.94946288
508.6331,54.64145973
509.1152,54.33328199
509.5974,54.01404259
510.0795,53.69487046
510.5616,53.37879715
511.0437,53.05537011
511.5258,52.70344876
512.0079,52.36408732
512.4901,52.0463768
512.9722,51.66607181
513.4543,51.28172392
513.9364,50.96190722
514.4185,50.6064092
514.9006,50.23926475
515.3828,49.86487149
515.8649,49.4238283
516.347,48.97677288
516.8291,48.47642866
517.3112,47.9448691
517.7933,47.74476504
518.2755,47.16054241
518.7576,46.60245432
519.2397,46.0477623
519.7218,45.51547544
520.2039,45.0137501
520.686,44.5304149
521.1682,44.07781677
521.6503,43.65940079
522.1324,43.2472715
522.6145,42.84579607
523.0966,42.43343175
523.5787,41.99353004
524.0609,41.57509594
524.543,41.12507338
525.0251,40.65341878
525.5072,40.19828219
525.9893,39.70049842
526.4714,39.22695708
526.9536,38.7577741
527.4357,38.30999013
527.9178,37.83257368
528.3999,37.39509397
528.882,36.96650935
529.3641,36.51931938
529.8463,36.06826004
530.3284,35.60421127
530.8105,35.13386081
531.2926,34.66082974
531.7747,34.21130837
532.2568,33.7247954
532.739,33.24090137
533.2211,32.76531777
533.7032,32.29312241
534.1853,31.81430778
534.6674,31.31663524
535.1495,30.82036343
535.6317,30.34339899
536.1138,29.84038257
536.5959,29.3416738
537.078,28.81204695
537.5601,28.34151985
538.0422,27.81180643
538.5244,27.31530965
539.0065,26.8088282
539.4886,26.31856932
539.9707,25.80522329
540.4528,25.32101633
540.9349,24.84328955
541.4171,24.37842067
541.8992,23.91334771
542.3813,23.43413402
542.8634,22.97133142
543.3455,22.51172994
543.8276,22.04245868
544.3098,21.5755371
544.7919,21.08777084
545.274,20.6053556
545.7561,20.11158261
546.2382,19.61278613
546.7203,19.11880543
547.2025,18.6402036
547.6846,18.16098359
548.1667,17.69978125
548.6488,17.2215274
549.1309,16.75111086
549.613,16.32935957
550.0952,15.88870445
550.5773,15.47435633
551.0594,15.03968927
551.5415,14.6126211
552.0236,14.204693
552.5057,13.78610446
552.9879,13.38430779
553.47,12.98919536
553.9521,12.59252851
554.4342,12.18829691
554.9163,11.81130168
555.3984,11.42709066
555.8806,11.04307351
556.3627,10.64571554
556.8448,10.29916395
557.3269,9.964740718
557.809,9.613763701
558.2911,9.260538839
558.7733,8.950945967
559.2554,8.65075597
559.7375,8.339602041
560.2196,8.067279055
560.7017,7.783101606
561.1838,7.49290175
561.666,7.226881933
562.1481,6.981448305
562.6302,6.726011067
563.1123,6.463095541
563.5944,6.225161726
564.0765,6.013253823
564.5587,5.79452646
565.0408,5.579176784
565.5229,5.386933866
566.005,5.191545625
566.4871,5.007754414
566.9692,4.835324319
567.4514,4.675370658
567.9335,4.537123931
568.4156,4.416860158
568.8977,4.287231744
569.3798,4.195721427
569.8619,4.126633485
570.3441,4.04963903
570.8262,3.983342869
571.3083,3.931652638
571.7904,3.902914997
572.2725,3.878326529
572.7546,3.87276989
573.2368,3.847539068
573.7189,3.847182963
574.201,3.845841619
574.6831,3.848136688
575.1652,3.847714187
575.6473,3.873949209
576.1295,3.880504824
576.6116,3.930555297
577.0937,3.982099853
577.5758,4.053590257
578.0579,4.120003625
578.54,4.238982991
579.0222,4.353114468
579.5043,4.508462231
579.9864,4.663548554
580.4685,4.84627222
580.9506,5.048764176
581.4327,5.236318423
581.9149,5.458614288
582.397,5.667760258
582.8791,5.911761192
583.3612,6.127290367
583.8433,6.376677561
584.3254,6.619429507
584.8076,6.864846878
585.2897,7.152500616
585.7718,7.411831833
586.2539,7.676513096
586.736,7.953189411
587.2181,8.225309935
587.7003,8.530363757
588.1824,8.817300088
588.6645,9.123693038
589.1466,9.414517271
589.6287,9.756556604
590.1108,10.10399896
590.593,10.45557984
591.0751,10.82209733
591.5572,11.20544394
592.0393,11.59650572
592.5214,12.01277907
593.0035,12.3966915
593.4857,12.77931298
593.9678,13.14737272
594.4499,13.5154479
594.932,13.89737279
595.4141,14.28969426
595.8962,14.66873003
596.3784,15.06434095
596.8605,15.45943172
597.3426,15.8720264
597.8247,16.26367182
598.3068,16.68363999
598.7889,17.13994385
599.2711,17.58530163
599.7532,18.04280921
600.2353,18.49435916
600.7174,18.96865343
601.1995,19.43423955
601.6816,19.89423347
602.1638,20.35444115
602.6459,20.78981932
603.128,21.20907309
603.6101,21.65643263
604.0922,22.09769386
604.5743,22.51598743
605.0565,22.94168598
605.5386,23.39855444
606.0207,23.81677618
606.5028,24.26634855
606.9849,24.71696446
607.467,25.14396995
607.9492,25.61053167
608.4313,26.06659696
608.9134,26.5270824
609.3955,26.97384232
609.8776,27.44333798
610.3597,27.8695857
610.8419,28.30691245
611.324,28.75468974
611.8061,29.22209038
612.2882,29.64394772
612.7703,30.08406005
613.2524,30.49331057
613.7346,30.9314689
614.2167,31.37996556
614.6988,31.81596712
615.1809,32.24159415
615.663,32.6701231
616.1451,33.1443089
616.6273,33.59974475
617.1094,34.04438284
617.5915,34.49752076
618.0736,34.97277519
618.5557,35.39498449
619.0378,35.83606657
619.52,36.23804539
620.0021,36.662014
620.4842,37.08250585
620.9663,37.51597676
621.4484,37.91835394
621.9305,38.33943123
622.4127,38.75521255
622.8948,39.16681985
623.3769,39.60583678
623.859,40.02773086
624.3411,40.45666519
624.8232,40.91348886
625.3054,41.29260283
625.7875,41.71805332
626.2696,42.12654615
626.7517,42.52763398
627.2338,42.93419188
627.7159,43.3095978
628.1981,43.7057418
628.6802,44.09386479
629.1623,44.49427698
629.6444,44.87911423
630.1265,45.24366468
630.6086,45.62771331
631.0908,45.98697441
631.5729,46.34786624
632.055,46.74415175
632.5371,47.09243651
633.0192,47.4499154
633.5013,47.81208789
633.9835,48.16941506
634.4656,48.53545847
634.9477,48.89023801
635.4298,49.24408898
